index,instance,test_type,phase,time_elapsed,gens,cg,population,mr,er,value,bks_gap,lb_gap,penalized_time,solution
0,mtVRP3,I,GA-Genetic,3.78,250,75,100,0.2,0.25,2417.93,181.62,369.19,1541.93,"{0: [0, 27, 4, 47, 6, 31, 21, 0, 11, 22, 43, 2, 1, 64, 0], 1: [0, 53, 75, 18, 55, 29, 42, 62, 9, 0, 63, 19, 15, 20, 36, 41, 3, 25, 38, 69, 0], 2: [0, 67, 72, 8, 40, 17, 35, 46, 0, 26, 58, 10, 68, 44, 51, 57, 65, 0], 3: [0, 14, 48, 23, 12, 61, 28, 50, 0, 33, 49, 54, 37, 60, 16, 74, 30, 0], 4: [0, 34, 45, 39, 52, 24, 56, 71, 0, 59, 7, 0], 5: [0, 5, 13, 66, 32, 70, 73, 0]}"
1,mtVRP3,I,GA-VND,3.76,250,75,100,0.2,0.25,1349.2,57.14,161.81,511.21,"{0: [0, 5, 36, 69, 21, 50, 32, 0, 2, 22, 42, 64, 61, 28, 0], 1: [0, 31, 25, 55, 18, 41, 43, 33, 75, 0, 71, 60, 70, 20, 15, 63, 3, 38, 53, 19, 0], 2: [0, 17, 9, 72, 35, 8, 46, 67, 0, 68, 57, 14, 65, 10, 58, 44, 51, 0], 3: [0, 6, 16, 49, 23, 1, 62, 74, 4, 0, 12, 40, 54, 37, 47, 48, 30, 0], 4: [0, 34, 52, 59, 39, 24, 56, 73, 0, 26, 7, 0], 5: [0, 11, 66, 13, 27, 29, 45, 0]}"
2,mtVRP3,P1,GA-Genetic,92.08,250,750,1000,0.2,0.25,2321.5,170.39,350.48,1445.5,"{0: [0, 36, 60, 61, 32, 66, 21, 0, 75, 29, 41, 70, 47, 67, 50, 0], 1: [0, 40, 12, 72, 64, 69, 68, 73, 56, 0, 28, 71, 9, 55, 25, 58, 74, 3, 0], 2: [0, 19, 63, 4, 27, 1, 31, 23, 0, 38, 53, 46, 51, 33, 5, 0], 3: [0, 48, 26, 15, 13, 8, 10, 65, 35, 0, 20, 57, 52, 45, 22, 42, 24, 0], 4: [0, 30, 18, 11, 37, 2, 34, 0, 17, 62, 59, 43, 0], 5: [0, 39, 49, 44, 6, 16, 54, 14, 7, 0]}"
3,mtVRP3,P1,GA-VND,3.17,250,750,1000,0.2,0.25,1260.04,46.76,144.51,384.04,"{0: [0, 71, 60, 70, 20, 40, 32, 0, 5, 37, 36, 47, 61, 64, 42, 0], 1: [0, 3, 24, 56, 41, 69, 21, 74, 68, 0, 50, 18, 55, 25, 9, 72, 58, 12, 0], 2: [0, 4, 48, 1, 23, 63, 33, 51, 0, 31, 38, 53, 19, 27, 46, 0], 3: [0, 45, 29, 15, 57, 13, 35, 65, 10, 26, 0, 8, 52, 28, 22, 43, 73, 0], 4: [0, 75, 62, 2, 30, 67, 0, 34, 59, 66, 11, 17, 0], 5: [0, 39, 44, 49, 16, 6, 54, 14, 7, 0]}"
4,mtVRP3,G1,GA-Genetic,15.13,1000,75,100,0.2,0.25,2433.3,183.41,372.17,1557.3,"{0: [0, 73, 29, 44, 18, 38, 59, 8, 2, 0, 67, 60, 42, 31, 32, 28, 0], 1: [0, 69, 26, 17, 48, 36, 30, 19, 55, 0, 40, 39, 72, 37, 5, 62, 64, 0], 2: [0, 11, 12, 50, 20, 45, 0, 58, 24, 54, 35, 51, 14, 0], 3: [0, 66, 13, 53, 3, 6, 34, 0, 10, 9, 33, 74, 23, 75, 63, 0], 4: [0, 56, 49, 4, 70, 16, 25, 27, 1, 0, 47, 21, 71, 61, 15, 0], 5: [0, 7, 46, 22, 43, 68, 57, 41, 52, 65, 0]}"
5,mtVRP3,G1,GA-VND,8.26,1000,75,100,0.2,0.25,1226.89,42.9,138.07,364.42,"{0: [0, 7, 35, 8, 46, 67, 0, 54, 19, 59, 14, 0], 1: [0, 6, 45, 5, 20, 37, 36, 69, 48, 0, 72, 39, 9, 55, 32, 64, 62, 0], 2: [0, 51, 44, 50, 24, 73, 28, 30, 0, 26, 58, 11, 66, 65, 12, 0], 3: [0, 10, 38, 53, 13, 74, 2, 75, 0, 17, 40, 3, 16, 49, 23, 63, 33, 0], 4: [0, 68, 21, 47, 29, 4, 0, 31, 25, 18, 56, 42, 61, 71, 60, 70, 0], 5: [0, 27, 57, 15, 22, 41, 43, 1, 52, 34, 0]}"
6,mtVRP3,M1,GA-Genetic,3.82,250,75,100,0.8,0.25,2358.35,174.68,357.63,1482.35,"{0: [0, 17, 66, 65, 12, 15, 28, 3, 75, 0, 46, 69, 72, 8, 6, 67, 45, 57, 0], 1: [0, 1, 2, 70, 37, 32, 36, 64, 0, 21, 60, 5, 30, 62, 48, 29, 0], 2: [0, 59, 14, 55, 39, 34, 43, 49, 0, 33, 56, 40, 63, 51, 47, 0], 3: [0, 50, 16, 25, 24, 18, 23, 19, 42, 0, 4, 61, 38, 20, 10, 7, 0], 4: [0, 11, 31, 9, 44, 52, 0, 22, 58, 68, 35, 0], 5: [0, 53, 13, 27, 73, 26, 71, 74, 41, 54, 0]}"
7,mtVRP3,M1,GA-VND,5.08,250,75,100,0.8,0.25,1186.08,38.14,130.15,333.09,"{0: [0, 11, 65, 66, 59, 36, 69, 74, 0, 51, 3, 44, 27, 57, 15, 29, 45, 0], 1: [0, 1, 64, 21, 71, 60, 70, 20, 37, 0, 68, 30, 48, 2, 62, 6, 0], 2: [0, 35, 14, 53, 72, 39, 55, 40, 0, 28, 43, 56, 16, 63, 33, 0], 3: [0, 17, 25, 50, 18, 24, 49, 23, 42, 22, 0, 67, 46, 8, 7, 38, 10, 0], 4: [0, 58, 31, 9, 32, 12, 0, 4, 52, 34, 75, 0], 5: [0, 26, 19, 54, 13, 5, 47, 61, 41, 73, 0]}"
8,mtVRP3,E1,GA-Genetic,0.97,250,19,100,0.2,0.8,2307.42,168.75,347.75,1470.88,"{0: [0, 59, 5, 30, 36, 20, 1, 28, 74, 0, 14, 37, 68, 3, 75, 53, 22, 29, 0], 1: [0, 16, 45, 72, 56, 42, 9, 52, 0, 25, 33, 57, 61, 21, 69, 70, 0], 2: [0, 62, 27, 4, 11, 12, 73, 54, 0, 32, 49, 65, 6, 26, 15, 7, 60, 71, 13, 0], 3: [0, 24, 55, 38, 48, 31, 66, 0, 19, 44, 40, 34, 47, 43, 35, 0], 4: [0, 2, 51, 63, 64, 41, 23, 50, 0, 8, 17, 18, 0], 5: [0, 58, 10, 67, 46, 39, 0]}"
9,mtVRP3,E1,GA-VND,3.26,250,19,100,0.2,0.8,1287.58,49.97,149.85,481.7,"{0: [0, 4, 5, 37, 36, 21, 2, 0, 14, 59, 19, 29, 30, 68, 75, 0], 1: [0, 72, 9, 25, 16, 56, 42, 33, 0, 52, 27, 57, 20, 70, 69, 61, 28, 0], 2: [0, 7, 11, 65, 53, 34, 74, 62, 73, 0, 6, 49, 32, 12, 8, 54, 13, 15, 60, 71, 0], 3: [0, 24, 55, 31, 38, 66, 35, 0, 40, 44, 51, 43, 47, 48, 45, 0], 4: [0, 17, 3, 63, 23, 41, 64, 22, 1, 0, 26, 18, 50, 0], 5: [0, 39, 10, 58, 67, 46, 0]}"
